#NO_PRODUCTS, NO_STORES
0.0,0.0,0.0,0.0,0.0,41.77,0.0,48.57,47.57,0.0,0.0,9.57,0.0,0.0,0.0,0.0,47.84,30.33,0.0,0.0,0.0,0.0,24.27,0.0,0.0,43.8,0.0,28.4,0.0,0.0,0.0,0.0,0.0,34.47,9.93,0.0,0.0,32.91,0.0,34.78,0.0,0.0,28.86,24.05,0.0,0.0,0.0,0.0,0.0,39.77,
18.3,9.83,0.0,0.0,26.31,11.11,0.0,0.0,19.08,26.8,5.75,0.0,0.0,0.0,0.0,31.05,29.22,0.0,0.0,0.0,0.0,34.51,0.0,49.94,39.23,0.0,0.0,48.85,0.0,16.44,9.41,0.0,6.83,40.66,0.0,48.98,33.16,0.0,20.25,49.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.67,8.02,0.0,
27.92,0.0,0.0,0.0,45.11,45.96,31.06,0.0,17.01,0.0,0.0,0.0,0.0,22.87,0.0,0.0,0.0,0.0,0.0,36.51,0.0,0.0,15.26,0.0,10.5,0.0,0.0,25.25,0.0,6.93,0.0,0.0,0.0,0.0,0.0,0.0,48.9,47.61,0.0,23.37,46.14,30.6,0.0,0.0,0.0,0.0,38.34,17.08,0.0,22.43,
12.37,46.6,0.0,18.3,0.0,0.0,0.0,38.6,38.36,0.0,0.0,0.0,0.0,45.43,44.59,0.0,14.86,10.55,0.0,0.0,27.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.05,32.16,0.0,17.56,5.21,35.66,36.98,0.0,0.0,0.0,26.06,46.7,0.0,0.0,0.0,0.0,0.0,0.0,30.15,0.0,0.0,0.0,
0.0,0.0,0.0,11.26,7.99,0.0,0.0,0.0,0.0,45.24,0.0,0.0,0.0,42.14,0.0,0.0,45.05,26.52,0.0,46.41,42.48,22.41,18.58,0.0,0.0,36.87,0.0,0.0,45.6,20.49,0.0,0.0,0.0,0.0,0.0,0.0,9.58,32.59,36.99,0.0,0.0,0.0,0.0,0.0,0.0,14.74,0.0,0.0,0.0,0.0,
19.48,0.0,45.86,0.0,44.77,15.05,33.22,12.03,22.45,46.11,14.4,0.0,40.67,0.0,0.0,0.0,22.47,0.0,0.0,0.0,0.0,0.0,0.0,21.17,0.0,0.0,0.0,33.41,28.33,43.4,12.32,0.0,0.0,0.0,0.0,23.84,0.0,20.46,0.0,25.53,0.0,0.0,0.0,15.11,26.95,0.0,0.0,0.0,32.94,0.0,
0.0,0.0,37.23,0.0,0.0,0.0,49.6,38.3,0.0,0.0,17.99,46.6,32.92,44.72,0.0,0.0,18.78,0.0,0.0,0.0,0.0,0.0,10.54,39.17,0.0,0.0,0.0,0.0,0.0,0.0,18.03,0.0,0.0,0.0,35.57,0.0,0.0,20.45,0.0,43.72,12.8,38.56,0.0,0.0,40.76,0.0,0.0,0.0,0.0,32.42,
0.0,0.0,0.0,0.0,43.44,0.0,31.5,0.0,0.0,0.0,0.0,0.0,30.01,0.0,19.16,0.0,28.61,16.62,19.38,38.53,14.14,48.08,43.62,34.08,0.0,0.0,0.0,0.0,0.0,0.0,32.81,0.0,39.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.55,11.45,0.0,0.0,0.0,24.65,14.14,
0.0,22.12,0.0,0.0,0.0,38.49,0.0,8.87,0.0,48.79,28.04,18.0,11.1,29.24,6.82,8.45,0.0,22.2,0.0,6.77,23.65,0.0,0.0,7.0,0.0,35.1,48.06,10.94,43.81,48.46,0.0,0.0,0.0,41.49,9.72,18.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.09,0.0,10.07,0.0,23.16,0.0,47.16,
17.72,36.63,0.0,0.0,23.77,0.0,0.0,20.24,0.0,44.58,0.0,0.0,16.34,0.0,30.17,28.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.57,0.0,0.0,0.0,39.88,0.0,0.0,26.53,0.0,0.0,13.92,6.56,13.88,17.29,24.91,18.7,0.0,12.97,0.0,43.08,0.0,47.79,0.0,0.0,17.92,0.0,45.15,
8.11,0.0,0.0,0.0,46.12,46.25,0.0,8.03,0.0,29.2,0.0,0.0,0.0,13.33,36.68,14.24,0.0,32.92,0.0,31.22,0.0,0.0,21.5,0.0,40.59,0.0,13.27,44.45,30.9,0.0,0.0,0.0,0.0,0.0,18.18,14.82,0.0,31.91,11.1,42.87,0.0,0.0,44.98,10.22,28.28,38.76,0.0,0.0,42.44,0.0,
0.0,0.0,0.0,0.0,42.98,0.0,0.0,28.06,20.97,0.0,0.0,0.0,0.0,0.0,34.98,39.49,10.9,41.77,0.0,0.0,0.0,18.37,48.57,33.08,0.0,0.0,24.27,0.0,0.0,0.0,0.0,0.0,44.07,22.23,32.37,13.35,0.0,0.0,0.0,0.0,0.0,41.31,16.36,0.0,0.0,0.0,26.39,23.56,40.79,0.0,
0.0,31.02,0.0,11.35,9.28,0.0,0.0,0.0,49.44,0.0,29.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.46,49.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.87,0.0,23.22,0.0,0.0,0.0,0.0,23.25,26.53,0.0,27.16,0.0,
0.0,0.0,46.17,12.06,0.0,0.0,11.1,0.0,0.0,8.43,0.0,42.31,35.63,0.0,21.89,0.0,21.14,0.0,0.0,43.78,19.47,0.0,12.05,0.0,33.33,18.67,0.0,0.0,0.0,8.64,0.0,0.0,0.0,25.39,42.26,26.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.21,0.0,0.0,
0.0,22.07,0.0,0.0,13.03,0.0,0.0,0.0,9.27,0.0,33.15,0.0,0.0,6.77,39.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,0.0,0.0,38.26,0.0,35.58,0.0,15.48,19.42,0.0,0.0,13.83,35.49,0.0,26.62,0.0,0.0,
15.99,40.45,0.0,0.0,0.0,46.24,0.0,21.71,32.38,8.01,37.71,0.0,5.77,0.0,45.44,0.0,0.0,0.0,18.13,8.62,20.45,10.77,22.94,0.0,0.0,27.01,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.52,0.0,21.63,0.0,12.92,0.0,33.44,0.0,14.61,7.38,47.73,35.31,0.0,0.0,0.0,43.7,
0.0,21.64,0.0,0.0,28.39,0.0,0.0,0.0,7.43,0.0,0.0,0.0,25.4,6.31,0.0,0.0,48.63,34.04,0.0,0.0,14.52,0.0,0.0,0.0,0.0,46.07,0.0,19.64,35.93,0.0,0.0,0.0,0.0,22.53,24.65,16.28,0.0,10.79,32.48,0.0,0.0,0.0,0.0,35.16,0.0,21.11,23.6,0.0,13.79,48.11,
13.64,0.0,0.0,39.18,22.42,0.0,20.37,33.42,0.0,0.0,0.0,0.0,0.0,11.58,49.96,0.0,0.0,0.0,42.78,0.0,0.0,0.0,0.0,39.69,31.79,0.0,0.0,34.94,27.09,26.01,19.8,0.0,44.63,0.0,0.0,0.0,0.0,0.0,26.67,24.54,0.0,18.28,26.65,0.0,0.0,0.0,31.39,39.51,28.41,0.0,
0.0,18.59,0.0,0.0,0.0,0.0,45.93,0.0,0.0,0.0,11.49,0.0,0.0,0.0,42.75,0.0,0.0,0.0,0.0,39.11,45.07,37.85,0.0,0.0,0.0,0.0,32.79,26.28,0.0,7.53,30.75,0.0,0.0,0.0,0.0,0.0,0.0,49.18,0.0,0.0,24.55,0.0,0.0,13.38,26.54,0.0,18.03,0.0,0.0,34.55,
0.0,0.0,32.41,0.0,0.0,14.23,34.38,0.0,0.0,0.0,0.0,6.68,0.0,0.0,0.0,10.67,33.54,0.0,21.44,44.08,0.0,13.72,38.51,0.0,23.41,0.0,0.0,0.0,0.0,0.0,15.68,0.0,0.0,47.92,0.0,0.0,0.0,37.06,0.0,0.0,0.0,0.0,44.39,0.0,0.0,0.0,17.41,0.0,0.0,0.0,
46.44,0.0,0.0,0.0,13.55,0.0,0.0,0.0,38.07,12.04,0.0,0.0,0.0,0.0,0.0,47.88,0.0,0.0,23.28,0.0,0.0,0.0,25.23,0.0,0.0,0.0,28.12,0.0,0.0,0.0,0.0,24.92,50.05,0.0,0.0,0.0,0.0,49.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.56,26.66,12.37,0.0,
0.0,0.0,0.0,9.63,42.45,0.0,0.0,0.0,0.0,0.0,0.0,19.54,0.0,0.0,24.84,0.0,0.0,0.0,19.2,22.45,16.08,46.39,12.91,43.27,0.0,15.78,0.0,0.0,16.12,0.0,16.95,38.99,0.0,39.24,15.8,7.3,0.0,0.0,0.0,0.0,0.0,33.25,0.0,43.34,11.47,0.0,27.7,0.0,0.0,0.0,
0.0,35.01,17.23,27.62,37.81,0.0,0.0,0.0,7.04,0.0,0.0,0.0,17.61,0.0,0.0,0.0,0.0,31.39,0.0,0.0,0.0,23.23,0.0,47.72,0.0,13.33,0.0,0.0,0.0,0.0,21.83,0.0,0.0,26.6,0.0,0.0,0.0,7.09,0.0,16.22,42.0,47.87,0.0,0.0,16.37,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,18.37,0.0,43.85,0.0,0.0,0.0,33.53,0.0,0.0,26.25,0.0,0.0,33.87,0.0,0.0,0.0,0.0,0.0,12.43,39.34,0.0,0.0,0.0,0.0,43.16,47.57,24.37,0.0,0.0,17.0,13.95,0.0,40.42,28.51,0.0,0.0,0.0,10.72,0.0,10.1,27.74,0.0,46.33,0.0,13.88,0.0,39.34,26.55,
0.0,0.0,18.86,40.28,45.06,0.0,0.0,42.45,0.0,0.0,0.0,32.99,0.0,0.0,0.0,42.12,0.0,18.81,0.0,9.01,48.69,0.0,23.98,47.61,0.0,0.0,0.0,0.0,42.58,0.0,0.0,0.0,0.0,7.7,0.0,0.0,16.58,0.0,49.45,0.0,0.0,0.0,41.53,0.0,0.0,12.26,0.0,0.0,10.72,12.43,
9.85,0.0,35.56,0.0,41.45,0.0,0.0,0.0,16.97,0.0,14.61,0.0,24.7,15.81,0.0,0.0,16.12,24.9,0.0,0.0,13.24,0.0,29.11,48.97,41.45,13.69,0.0,0.0,49.0,0.0,6.39,0.0,0.0,0.0,28.26,0.0,0.0,0.0,0.0,12.5,0.0,36.17,0.0,0.0,16.88,0.0,10.47,0.0,0.0,0.0,
5.11,0.0,0.0,0.0,0.0,0.0,0.0,38.93,0.0,12.2,0.0,0.0,0.0,24.37,0.0,32.59,0.0,0.0,0.0,0.0,13.95,28.89,40.87,38.39,0.0,0.0,33.44,0.0,17.34,0.0,36.57,14.57,0.0,0.0,0.0,0.0,0.0,0.0,30.14,0.0,0.0,0.0,0.0,0.0,48.25,0.0,49.03,0.0,28.33,36.22,
0.0,10.09,0.0,0.0,0.0,8.63,33.0,0.0,39.48,0.0,18.09,39.71,0.0,0.0,0.0,0.0,21.4,24.69,40.26,0.0,0.0,0.0,0.0,0.0,5.33,12.99,0.0,0.0,31.14,0.0,20.12,0.0,29.54,32.97,0.0,0.0,0.0,0.0,0.0,21.48,0.0,29.7,0.0,44.82,0.0,0.0,16.88,0.0,0.0,0.0,
0.0,19.95,0.0,0.0,10.8,24.04,48.22,9.54,0.0,41.24,0.0,0.0,39.66,0.0,0.0,19.75,28.32,40.36,0.0,0.0,34.88,49.65,24.51,45.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.25,0.0,0.0,8.64,0.0,0.0,0.0,27.18,0.0,0.0,48.37,0.0,13.66,11.62,0.0,22.72,0.0,
49.29,0.0,0.0,39.84,48.85,13.84,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,18.79,0.0,0.0,39.23,0.0,39.64,26.3,0.0,30.73,0.0,0.0,28.24,38.19,0.0,25.54,0.0,5.13,0.0,0.0,0.0,0.0,0.0,0.0,19.39,0.0,7.38,21.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.47,
0.0,0.0,0.0,34.11,0.0,0.0,0.0,43.12,0.0,45.72,0.0,48.27,0.0,24.38,40.64,44.04,0.0,0.0,45.65,0.0,0.0,44.94,0.0,0.0,14.77,33.43,27.19,0.0,13.95,0.0,26.47,36.66,0.0,35.68,6.7,0.0,0.0,0.0,0.0,14.09,0.0,0.0,28.64,0.0,0.0,0.0,0.0,0.0,0.0,16.11,
31.92,0.0,9.57,0.0,48.07,29.56,20.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.04,0.0,0.0,0.0,0.0,0.0,46.36,0.0,0.0,43.9,27.13,0.0,0.0,0.0,0.0,46.91,0.0,0.0,39.6,0.0,0.0,0.0,36.75,0.0,0.0,40.92,0.0,24.57,0.0,47.5,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,41.03,0.0,19.46,0.0,12.54,0.0,0.0,16.41,33.09,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.63,0.0,0.0,34.34,42.36,0.0,48.4,0.0,29.23,0.0,0.0,0.0,0.0,10.19,28.61,0.0,0.0,42.06,48.24,25.08,0.0,0.0,27.09,0.0,40.0,0.0,0.0,
13.15,0.0,0.0,0.0,47.95,48.94,0.0,0.0,0.0,0.0,0.0,12.36,0.0,20.76,45.39,40.86,0.0,0.0,0.0,18.32,0.0,0.0,32.22,0.0,25.88,0.0,28.12,0.0,0.0,28.95,0.0,0.0,0.0,0.0,0.0,0.0,13.01,0.0,0.0,0.0,0.0,0.0,27.67,0.0,0.0,0.0,0.0,0.0,49.39,9.61,
23.33,0.0,47.21,0.0,25.31,18.85,8.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.78,0.0,0.0,8.81,0.0,0.0,44.73,0.0,0.0,0.0,0.0,0.0,38.37,0.0,14.57,0.0,14.42,0.0,30.7,0.0,46.41,29.02,40.05,0.0,0.0,0.0,0.0,30.28,44.99,49.55,33.44,0.0,0.0,47.5,0.0,
0.0,0.0,0.0,0.0,5.66,46.32,0.0,0.0,36.52,33.46,39.64,0.0,0.0,0.0,38.92,0.0,0.0,15.91,5.41,0.0,26.84,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,0.0,0.0,0.0,47.38,0.0,0.0,34.37,38.25,0.0,0.0,0.0,0.0,0.0,6.8,0.0,48.71,0.0,24.35,0.0,0.0,
0.0,48.96,0.0,0.0,0.0,26.81,0.0,0.0,0.0,0.0,23.44,0.0,8.63,0.0,12.87,0.0,0.0,0.0,0.0,31.44,20.25,0.0,19.19,36.25,33.84,40.84,0.0,0.0,0.0,0.0,0.0,5.45,0.0,36.14,0.0,7.79,13.52,0.0,47.39,29.3,38.32,49.56,46.73,16.42,0.0,0.0,8.98,0.0,0.0,40.65,
0.0,0.0,0.0,0.0,0.0,16.23,0.0,13.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.45,45.38,20.36,39.25,0.0,0.0,0.0,0.0,18.01,0.0,11.91,16.9,21.02,0.0,0.0,0.0,0.0,15.78,0.0,0.0,0.0,5.94,15.1,0.0,12.69,49.22,0.0,35.07,0.0,10.47,0.0,0.0,0.0,
24.38,43.85,0.0,0.0,0.0,12.49,0.0,0.0,6.93,21.94,0.0,0.0,16.55,0.0,30.1,0.0,0.0,0.0,25.1,0.0,0.0,40.19,26.11,0.0,0.0,0.0,40.04,0.0,0.0,0.0,0.0,48.36,0.0,0.0,33.32,0.0,0.0,0.0,6.36,0.0,27.19,42.3,0.0,0.0,0.0,25.78,9.24,0.0,0.0,23.9,
0.0,22.52,0.0,6.4,13.29,0.0,0.0,46.15,22.14,0.0,0.0,0.0,9.2,0.0,0.0,12.01,37.14,0.0,0.0,0.0,0.0,0.0,48.42,0.0,0.0,0.0,0.0,0.0,47.23,30.95,0.0,0.0,46.47,18.13,0.0,0.0,0.0,0.0,11.55,18.59,0.0,32.32,30.09,0.0,0.0,0.0,0.0,0.0,38.36,13.52,
0.0,0.0,27.78,0.0,0.0,19.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,39.8,0.0,0.0,44.01,0.0,36.52,0.0,0.0,7.21,0.0,0.0,0.0,0.0,27.81,0.0,0.0,27.54,44.61,0.0,9.46,0.0,0.0,0.0,0.0,32.26,22.76,0.0,43.37,28.68,0.0,29.01,46.47,10.76,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,49.71,19.08,0.0,19.65,0.0,6.51,0.0,0.0,32.93,34.94,0.0,7.77,0.0,0.0,0.0,0.0,0.0,28.56,0.0,0.0,38.6,0.0,0.0,0.0,33.86,0.0,0.0,23.22,30.36,18.79,0.0,0.0,0.0,0.0,27.07,0.0,15.39,0.0,24.76,0.0,47.88,0.0,0.0,25.64,
0.0,0.0,0.0,0.0,0.0,0.0,12.99,0.0,0.0,0.0,0.0,0.0,31.79,7.2,45.53,0.0,0.0,0.0,32.28,0.0,0.0,0.0,37.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.22,20.17,0.0,22.32,0.0,44.16,0.0,0.0,43.34,0.0,0.0,26.18,0.0,0.0,0.0,0.0,28.63,20.69,26.83,0.0,
0.0,0.0,0.0,0.0,16.06,41.52,7.6,0.0,0.0,0.0,18.21,40.92,14.73,0.0,0.0,0.0,11.13,47.8,0.0,49.12,0.0,0.0,16.95,44.87,32.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4,0.0,0.0,18.7,0.0,0.0,0.0,0.0,0.0,12.58,0.0,0.0,10.86,6.97,0.0,17.17,0.0,47.09,
22.57,0.0,0.0,0.0,0.0,0.0,16.27,0.0,19.6,0.0,0.0,0.0,7.84,8.56,43.06,0.0,0.0,0.0,0.0,0.0,20.66,48.21,0.0,47.41,0.0,0.0,0.0,0.0,0.0,11.38,11.57,30.12,15.05,5.65,49.65,31.14,0.0,0.0,0.0,13.81,24.32,21.34,0.0,30.83,0.0,21.88,0.0,0.0,0.0,5.5,
0.0,0.0,0.0,30.76,0.0,28.62,0.0,0.0,0.0,7.65,9.48,0.0,0.0,28.36,0.0,0.0,45.93,0.0,35.72,0.0,0.0,27.64,23.2,0.0,0.0,0.0,0.0,24.11,17.44,0.0,0.0,31.97,0.0,43.34,13.64,0.0,0.0,0.0,0.0,0.0,16.87,22.13,0.0,10.59,13.41,0.0,0.0,0.0,30.9,0.0,
0.0,0.0,23.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.72,0.0,0.0,0.0,0.0,0.0,38.8,13.73,0.0,0.0,0.0,42.24,0.0,0.0,0.0,0.0,0.0,24.11,9.61,25.98,0.0,0.0,49.97,0.0,0.0,0.0,0.0,0.0,0.0,13.79,0.0,21.95,0.0,0.0,5.49,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.1,38.92,27.76,32.83,30.04,37.9,0.0,0.0,48.71,0.0,6.29,0.0,0.0,0.0,15.67,0.0,0.0,32.47,0.0,0.0,0.0,26.86,0.0,7.9,15.25,17.32,38.51,0.0,9.09,25.61,0.0,0.0,0.0,0.0,40.43,0.0,39.7,7.85,21.61,0.0,0.0,0.0,12.3,
0.0,0.0,48.17,0.0,0.0,31.62,20.45,0.0,0.0,31.11,0.0,0.0,30.57,0.0,0.0,0.0,0.0,0.0,26.16,0.0,0.0,15.93,36.0,12.3,0.0,0.0,0.0,39.21,21.63,0.0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,21.8,0.0,36.43,7.93,45.91,0.0,0.0,46.8,0.0,0.0,15.98,37.47,13.67,
0.0,0.0,0.0,0.0,0.0,26.46,22.33,0.0,27.85,0.0,0.0,0.0,32.56,20.38,0.0,0.0,18.77,0.0,0.0,48.0,0.0,0.0,22.04,0.0,36.5,0.0,31.93,0.0,0.0,13.54,0.0,10.46,32.67,0.0,0.0,0.0,31.0,0.0,0.0,0.0,27.94,0.0,15.19,28.22,0.0,7.94,7.04,18.72,31.89,17.77,
22.83,0.0,36.55,0.0,0.0,0.0,14.64,0.0,10.56,0.0,48.71,0.0,0.0,26.87,0.0,11.04,36.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,0.0,7.68,25.41,0.0,0.0,29.98,17.66,0.0,0.0,9.3,0.0,0.0,0.0,47.42,32.37,0.0,0.0,0.0,0.0,0.0,47.42,49.74,0.0,0.0,0.0,
0.0,18.02,6.15,0.0,11.94,0.0,0.0,0.0,0.0,0.0,0.0,10.42,0.0,33.06,37.51,18.45,16.4,0.0,0.0,0.0,22.28,20.16,13.31,0.0,0.0,0.0,0.0,0.0,10.48,0.0,0.0,0.0,0.0,8.57,0.0,0.0,0.0,44.98,47.88,0.0,0.0,18.41,0.0,30.17,0.0,0.0,23.11,25.93,0.0,21.42,
0.0,43.43,0.0,0.0,29.33,39.75,9.27,29.69,0.0,0.0,0.0,0.0,0.0,16.55,45.98,0.0,0.0,8.37,31.3,0.0,48.34,13.17,0.0,44.05,0.0,14.76,19.45,0.0,47.86,27.49,17.51,0.0,0.0,8.56,0.0,0.0,0.0,0.0,0.0,0.0,47.63,0.0,0.0,43.69,0.0,10.1,0.0,39.41,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,37.03,0.0,46.29,0.0,0.0,0.0,32.89,0.0,0.0,0.0,0.0,47.27,0.0,0.0,0.0,0.0,0.0,0.0,8.81,41.71,8.44,0.0,29.13,20.01,0.0,0.0,0.0,30.37,47.85,0.0,0.0,32.3,0.0,15.2,0.0,0.0,17.61,8.06,0.0,0.0,19.79,0.0,45.58,36.39,0.0,
0.0,0.0,48.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.33,0.0,13.28,18.88,8.16,0.0,38.31,0.0,0.0,29.46,0.0,0.0,0.0,0.0,31.07,43.88,29.24,0.0,0.0,0.0,42.83,32.93,41.39,0.0,18.04,0.0,0.0,0.0,0.0,13.31,47.18,0.0,43.91,0.0,0.0,0.0,0.0,35.6,9.91,34.01,
